"fips"|"lar_count"
"27003"|21761
"27005"|1509
"27007"|1119
"27009"|1708
"27011"|146
"27013"|2381
"27015"|770
"27017"|1720
"27019"|6299
"27021"|1549
"27023"|304
"27025"|3443
"27027"|3009
"27029"|216
"27031"|200
"27033"|325
"27035"|3475
"27037"|24441
"27039"|1060
"27041"|1558
"27043"|307
"27045"|816
"27047"|912
"27049"|2009
"27051"|206
"27053"|62514
"27055"|602
"27057"|815
"27059"|2706
"27061"|1853
"27063"|238
"27065"|775
"27067"|1335
"27069"|89
"27071"|329
"27073"|143
"27075"|349
"27077"|197
"27079"|1438
"27081"|161
"27083"|669
"27085"|1569
"27087"|103
"27089"|284
"27091"|558
"27093"|922
"27095"|1458
"27097"|1351
"27099"|1280
"27101"|228
"27103"|1214
"27105"|375
"27107"|204
"27109"|7487
"27111"|2461
"27113"|429
"27115"|1503
"27117"|165
"27119"|1125
"27121"|422
"27123"|23227
"27125"|101
"27127"|415
"27129"|364
"27131"|2474
"27133"|342
"27135"|426
"27137"|7818
"27139"|8667
"27141"|6354
"27143"|612
"27145"|6150
"27147"|1473
"27149"|194
"27151"|200
"27153"|813
"27155"|73
"27157"|952
"27159"|348
"27161"|635
"27163"|15571
"27165"|314
"27167"|234
"27169"|1430
"27171"|8680
"27173"|234
"28001"|709
"28003"|848
"28005"|342
"28007"|442
"28009"|241
"28011"|717
"28013"|300
"28015"|197
"28017"|396
"28019"|171
"28021"|239
"28023"|449
"28025"|503
"28027"|385
"28029"|773
"28031"|604
"28033"|10375
"28035"|2560
"28037"|173
"28039"|943
"28041"|346
"28043"|691
"28045"|1968
"28047"|7579
"28049"|7263
"28051"|336
"28053"|192
"28055"|19
"28057"|685
"28059"|5548
"28061"|447
"28063"|192
"28065"|387
"28067"|1941
"28069"|132
"28071"|2082
"28073"|2717
"28075"|1738
"28077"|334
"28079"|595
"28081"|3217
"28083"|498
"28085"|985
"28087"|1929
"28089"|5363
"28091"|919
"28093"|1306
"28095"|1033
"28097"|189
"28099"|592
"28101"|626
"28103"|243
"28105"|1375
"28107"|1040
"28109"|2122
"28111"|343
"28113"|1306
"28115"|824
"28117"|663
"28119"|92
"28121"|7531
"28123"|804
"28125"|42
"28127"|790
"28129"|417
