"concat"|"count"
"27165"|201
"27167"|225
"27169"|1360
"27171"|8210
"27173"|201
"28001"|699
"28003"|815
"28005"|317
"28007"|391
"28009"|189
"28011"|690
"28013"|296
"28015"|191
"28017"|394
"28019"|167
"28021"|180
"28023"|416
"28025"|498
"28027"|376
"28029"|706
"28031"|587
"28033"|9927
"28035"|2342
"28037"|172
"28039"|705
"28041"|283
"28043"|677
"28045"|1885
"28047"|7308
"28049"|6976
"28051"|327
"28053"|143
"28055"|16
"28057"|651
"28059"|4842
"28061"|385
"28063"|182
"28065"|370
"28067"|1820
"28069"|113
"28071"|1967
"28073"|2511
"28075"|1578
"28077"|323
"28079"|547
"28081"|3143
"28083"|489
"28085"|925
"28087"|1886
"28089"|5211
"28091"|817
"28093"|1009
"28095"|1018
"28097"|188
"28099"|474
"28101"|582
"28103"|218
"28105"|1333
"28107"|870
"28109"|2009
"28111"|288
"28113"|1191
"28115"|808
"28117"|648
"28119"|55
"28121"|7365
"28123"|659
"28125"|38
"28127"|779
"28129"|376
"28131"|584
"28133"|573
"28135"|216
"28137"|1023
"28139"|433
"28141"|544
"28143"|125
"28145"|705
"28147"|427
"28149"|1247
"28151"|1072
"28153"|371
"28155"|253
"28157"|203
"28159"|428
"28161"|375
"28163"|622
"29001"|458
"29003"|681
"29005"|102
"29007"|539
"29009"|1223
"29011"|325
"29013"|422
"29015"|665
"29017"|344
"29019"|6098
"29021"|2686
"29023"|1252
"29025"|231
"29027"|1323
"29029"|3116
"29031"|2744
"29033"|168
"29035"|124
"29037"|5905
"29039"|473
"29041"|93
"29043"|4599
"29045"|55
"29047"|13665
"29049"|932
"29051"|2304
"29053"|519
"29055"|689
"29057"|238
"29059"|582
"29061"|158
"29063"|234
"29065"|332
"29067"|219
"29069"|404
"29071"|3773
"29073"|449
"29075"|113
"29077"|11655
"29079"|149
"29081"|109
"29083"|757
"29085"|325
"29087"|87
"29089"|162
"29091"|1041
"29093"|269
"29095"|30864
"29097"|4428
"29099"|13458
"29101"|2069
"29103"|22
"29105"|1438
"29107"|1098
"29109"|1298
"29111"|96
"29113"|3280
"29115"|247
"29117"|280
"29119"|665
"29121"|238
"29123"|314
"29125"|180
"29127"|552
"29129"|60
"29131"|778
"29133"|275
"29135"|413
"29137"|164
"29139"|317
"29141"|735
"29143"|403
"29145"|2158
"29147"|480
"29149"|187
"29151"|296
"29153"|202
"29155"|245
"29157"|905
"29159"|1134
"29161"|885
"29163"|343
"29165"|5300
"29167"|1114
"29169"|1621
"29171"|89
"29173"|314
"29175"|638
"29177"|897
"29179"|209
"29181"|347
"29183"|25812
"29185"|173
"29186"|634
"29187"|2320
"29189"|46664
"29195"|383
"29197"|46
"29199"|34
"29201"|1201
"29203"|195
"29205"|64
"29207"|776
"29209"|1632
"29211"|79
"29213"|2141
"29215"|665
"29217"|559
"29219"|2054
"29221"|641
"29223"|293
"29225"|1481
"29227"|40
"29229"|433
"29510"|11869
"30001"|260
"30003"|115
"30005"|77
"30007"|354
"30009"|489
"30011"|15
"30013"|3674
"30015"|94
"30017"|363
"30019"|42
"30021"|231
"30023"|303
"30025"|64
"30027"|355
"30029"|4925
"30031"|5605
"30033"|15
"30035"|158
"30037"|16
"30039"|133
"30041"|402
"30043"|508
"30045"|53
"30047"|1000
"30049"|3093
"30051"|28
"30053"|614
"30055"|22
"30057"|538
"30059"|55
"30061"|159
"30063"|4417
"30065"|184
"30067"|803
"30069"|5
"30071"|75
"30073"|124
"30075"|24
"30077"|127
"30079"|35
"30081"|1835
"30083"|344
"30085"|103
"30087"|187
"30089"|336
"30091"|86
"30093"|1275
"30095"|393
"30097"|110
"30099"|130
"30101"|97
"30103"|8
"30105"|184
"30107"|37
"30109"|17
"30111"|7510
"31001"|841
"31003"|95
"31005"|5
"31007"|9
"31009"|4
"31011"|70
"31013"|282
"31015"|16
"31017"|45
"31019"|1160
"31021"|183
"31023"|223
"31025"|1372
"31027"|155
"31029"|109
"31031"|102
"31033"|188
"31035"|125
"31037"|211
"31039"|154
"31041"|141
"31043"|337
"31045"|229
"31047"|455
"31049"|33
"31051"|87
"31053"|1190
"31055"|22786
"31057"|28
"31059"|97
"31061"|65
"31063"|58
"31065"|82
"31067"|538
"31069"|43
"31071"|22
"31073"|42
"31075"|9
"31077"|21
"31079"|1589
"31081"|296
"31083"|55
"31085"|8
"31087"|34
"31089"|200
"31091"|5
"31093"|182
"31095"|138
"31097"|58
"31099"|188
"31101"|356
"31103"|4
"31105"|86
"31107"|131
"31109"|13385
"31111"|1044
"31113"|12
"31115"|8
"31117"|3
"31119"|848
"31121"|217
"31123"|73
"31125"|73
"31127"|126
"31129"|64
"31131"|461
"31133"|22
"31135"|88
"31137"|211
"31139"|135
"31141"|974
"31143"|115
"31145"|286
"31147"|107
"31149"|11
"31151"|351
"31153"|9367
"31155"|793
"31157"|883
"31159"|645
"31161"|82
"31163"|29
"31165"|13
"31167"|124
"31169"|59
"31171"|2
"31173"|48
"31175"|64
"31177"|792
"31179"|114
"31181"|61
"31183"|1
"31185"|321
"32001"|1173
"32003"|130603
"32005"|3075
"32007"|2452
"32009"|8
"32011"|53
"32013"|645
"32015"|192
"32017"|153
"32019"|4178
"32021"|97
"32023"|2910
"32027"|146
"32029"|388
"32031"|27321
"32033"|326
"32510"|2942
"33001"|3133
"33003"|2767
"33005"|2360
"33007"|881
"33009"|2611
"33011"|19784
"33013"|6382
"33015"|16282
"33017"|5464
"33019"|1204
"34001"|11031
"34003"|30686
"34005"|20981
"34007"|20859
"34009"|8010
"34011"|4263
"34013"|23188
"34015"|13841
"34017"|17934
"34019"|5409
"34021"|11539
"34023"|28559
"34025"|28886
"34027"|19573
"34029"|30816
"34031"|14838
"34033"|2211
"34035"|12654
"34037"|7906
"34039"|18785
"34041"|4375
"35001"|28786
"35003"|82
"35005"|1808
"35006"|390
"35007"|476
"35009"|1531
"35011"|19
"35013"|7691
"35015"|2273
"35017"|839
"35019"|78
"35021"|9
"35023"|47
"35025"|1795
"35027"|1094
"35028"|816
"35029"|577
"35031"|935
"35033"|59
"35035"|2157
"35037"|120
"35039"|844
"35041"|470
"35043"|8336
"35045"|3265
"35047"|699
"35049"|6409
"35051"|343
"35053"|316
"35055"|1108
"35057"|405
"35059"|99
"35061"|2910
"36001"|8498
"36003"|970
"36005"|11342
"36007"|4340
"36009"|1571
"36011"|1881
"36013"|2448
"36015"|2418
"36017"|1059
"36019"|2063
"36021"|1987
"36023"|1033
"36025"|1056
"36027"|8178
"36029"|24201
"36031"|1181
"36033"|1096
"36035"|1388
"36037"|1306
"36039"|1734
"36041"|226
"36043"|2110
"36045"|3100
"36047"|31169
"36049"|818
"36051"|1648
"36053"|1897
"36055"|22175
"36057"|1161
"36059"|38698
"36061"|19266
"36063"|5640
"36065"|6848
"36067"|13049
"36069"|3819
"36071"|11277
"36073"|1032
"36075"|3115
"36077"|1421
"36079"|2999
"36081"|36109
"36083"|4609
"36085"|13084
"36087"|8397
"36089"|1842
"36091"|7850
"36093"|4787
"36095"|849
"36097"|577
"36099"|800
"36101"|2922
"36103"|48722
"36105"|1714
"36107"|1208
"36109"|1275
"36111"|4198
